reference_genome	pangolin_lineage	WHO_label
hCoV-19/USA/GA-EHC-4575Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4544T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4542R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4539O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4578B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4579C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4580D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4581E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4543S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4621S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4624V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4626X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4627Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4625W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0716130/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0712588/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0715797/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0716052/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0703079/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0703116/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0702874/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0702872/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0699557/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0699552/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0699368/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0705848/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0705849/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4670P/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4639K/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4552B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4628Z/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4629A/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4630B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4633E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4638J/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4686F/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4688H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4679Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4668N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4751S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4786B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4783Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4772N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0718319/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0718008/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0728921/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0729541/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-CDC-LC0742003/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4830T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4831U/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4832V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4833W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4836Z/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4842F/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4843G/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4844H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4845I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4848L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4849M/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4851O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4853Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4855S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4856T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4858V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4859W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4860X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4862Z/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4863A/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4864B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4866D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4883U/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4887Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4888Z/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4890B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4891C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4892D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4644P/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4646R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4650V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4652X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4659E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4664J/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4645Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4656B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4871I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4876N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4776R/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4781W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4782X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4907S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4919E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4770L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4789E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5141S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5143U/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5144V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5145W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4909U/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4930P/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4808X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4671Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4678X/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4681A/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4725S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4726T/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4728V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4729W/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4796L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4969C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4971E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4972F/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4973G/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4974H/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4975I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4976J/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4977K/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4979M/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4980N/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4981O/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4983Q/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4985S/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4988V/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4991Y/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4993A/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4994B/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4995C/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4996D/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4997E/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-4998F/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5001I/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5002J/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5004L/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5005M/2022	BA.2.12.1	Omicron_BA.2
hCoV-19/USA/GA-EHC-5006N/2022	BA.2.12.1	Omicron_BA.2
